Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.254828325477076,0.0409131764525601,0.0174480546838182,0,0,0,0.523299449721077,0.000406912853184852,-8.59512546977067E-08,-1.72906322534212E-06,0.00880421950898145,1.23601297741152E-05,0.00905486302024662,0,0,0,0,0,0,package://Robot_PRPP/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Robot_PRPP/meshes/base_link.STL,,Linear actuator scaled-2,Coordinate System8,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
sliding_base_link,0.090631204626591,0.0117098941836828,0.0527150162258735,0,0,0,0.624468895388674,0.000994336176342597,3.33685820951727E-07,-2.02052111346439E-07,0.000998541796590383,4.61840585629066E-05,0.00193497512771811,0,0,0,0,0,0,package://Robot_PRPP/meshes/sliding_base_link.STL,0.282352941176471,0.27843137254902,0.23921568627451,1,0,0,0,0,0,0,package://Robot_PRPP/meshes/sliding_base_link.STL,,C-Beam Fixed Base-1;base on rotary-2,Coordinate System8,Axis7,joint_p1,prismatic,0,0,0,0,0,0,base_link,-1,0,0,10,0.1,-0.35,-0.002,,,,,,,,
Rotary_link,0.00550005907704618,0.0133165558359293,0.0875187441111814,0,0,0,0.577545264678411,0.00363401348873574,-2.04459146765171E-06,3.47554042381988E-06,0.0036114780132624,-0.000137831953938626,0.000799706597197508,0,0,0,0,0,0,package://Robot_PRPP/meshes/Rotary_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Robot_PRPP/meshes/Rotary_link.STL,,Rotating desk-1;2040 Aluminim profile-1;2040 Aluminim profile-2;Cap 2-1,Coordinate System2,Axis2,joint_2,revolute,0.090646,0.013565,0.090261,0,0,0,sliding_base_link,-0.00020037,0.049148,0.99879,10,1.5,-3.1415,3.1415,,,,,,,,
vertical_slide,0.00283036723723029,0.00779443849510467,0.00101976005246823,0,0,0,0.186493084894737,0.000218249376884413,-3.199675893271E-05,-5.86901632697407E-05,0.000561299186500377,-1.80556924581837E-05,0.000384615615757152,0,0,0,0,0,0,package://Robot_PRPP/meshes/vertical_slide.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Robot_PRPP/meshes/vertical_slide.STL,,XZ joiner-1,Coordinate System6,Axis9,joint_3,prismatic,0.039728,0.00066303,0.23098,0,0,0,Rotary_link,0,0,-1,10,0.1,-0.13,0.1,,,,,,,,
"Y-axis ",0.0031649634960261,-0.0102270331631173,-0.00675313517552385,0,0,0,0.0877958218970793,1.03074931990772E-05,-7.10328985274814E-05,2.20435052150031E-05,0.00182994702625446,8.59200509731357E-07,0.00183244907629358,0,0,0,0,0,0,package://Robot_PRPP/meshes/Y-axis .STL,0.749019607843137,0.749019607843137,0.749019607843137,1,0,0,0,0,0,0,package://Robot_PRPP/meshes/Y-axis .STL,,ALUMUNIUM PROFILE 2020-1,Coordinate System6,Axis_Joint42,Joint4,prismatic,0,0,0,0,0,0,vertical_slide,0.99917,0.038945,-0.012086,10,0.1,-0.2,0.2,,,,,,,,
